hs_code,description
850422,Transformers exceeding 650 kVA but not exceeding 10,000 kVA
850490,Parts suitable for electrical transformers or inductors
853710,Boards, cabinets and similar for electric control <= 1,000 V
902610,Instruments for measuring or checking flow or level of liquids
903180,Instruments, appliances and machines for measuring or checking, nes
